number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
44,0.8973431587219238,2025-09-02 15:25:14.655198,2025-09-02 15:36:56.198057,0 days 00:11:41.542859,100,uniform,5,zero,,0.002809133912713851,303,352,928,256,224,Glorot,,logistic,0.013103405634562174,0.013004581133524576,0.012706120808919271,0.01312267780303955,0.013093868891398111,0.013101935386657715,0.013042370478312174,0.01302499430520194,0.8973431587219238,0.030246539282653882,COMPLETE
45,0.9462139209111532,2025-09-02 15:36:56.198799,2025-09-02 16:36:38.344697,0 days 00:59:42.145898,20,normal,7,nz,2.3929342013616522e-05,1.4440212061893252e-05,196,816,208,688,816,Glorot,,logistic,0.01353609561920166,0.012984315554300943,0.01308584213256836,0.013077060381571451,0.013116955757141113,0.013096491495768229,0.012951930363972982,0.013121241614932106,0.9462139209111532,0.013235487776339887,COMPLETE
46,0.5981312394142151,2025-09-02 16:36:38.345127,2025-09-02 16:41:10.385441,0 days 00:04:32.040314,256,uniform,7,zero,,0.043674173207084874,1003,816,192,384,752,old,1.8827356407489932,tanh,0.012563745180765787,0.012932538986206055,0.012991547584533691,0.01303712526957194,0.013045628865559896,0.012808998425801596,0.008361379305521647,0.012248709088280086,0.5981312394142151,0.013848334216034935,COMPLETE
47,0.9186927874883016,2025-09-02 16:41:10.385872,2025-09-02 16:45:00.116170,0 days 00:03:49.730298,512,uniform,8,nz,8.31077302228011e-06,0.00010267644470118219,9195,512,608,400,928,old,0.8595999722635594,logistic,0.013107220331827799,0.012902418772379557,0.013123710950215658,0.013065059979756674,0.013066609700520834,0.013142585754394531,0.01307074228922526,0.013068335396902902,0.9186927874883016,0.006643039686386832,COMPLETE
48,0.6198183496793112,2025-09-02 16:45:00.116605,2025-09-02 16:47:13.510970,0 days 00:02:13.394365,512,uniform,5,zero,,0.05359253345877439,522,240,352,288,240,Glorot,,tanh,0.01264333724975586,0.012937188148498535,0.0130615234375,0.012871781984965006,0.012920141220092773,0.012793580691019693,0.01063851515452067,0.012552295412336077,0.6198183496793112,0.03261583220700362,COMPLETE
49,0.7760828932126363,2025-09-02 16:47:13.511398,2025-09-02 17:45:49.613912,0 days 00:58:36.102514,20,normal,8,zero,,0.0021677280943486516,880,384,624,384,240,Glorot,,tanh,0.01303724447886149,0.012970646222432455,0.012906193733215332,0.013132254282633463,0.013242244720458984,0.012915929158528646,0.012891570727030436,0.01301372618902297,0.7760828932126363,0.00997278664169793,COMPLETE
50,0.9470749497413635,2025-09-02 17:45:49.614657,2025-09-02 18:44:18.136696,0 days 00:58:28.522039,20,uniform,8,zero,,1.1558246302447942e-05,173,736,624,320,688,old,0.9514981945949907,logistic,0.013093352317810059,0.012895822525024414,0.013137539227803549,0.013053258260091146,0.013102491696675619,0.013044357299804688,0.013188521067301432,0.013073620342072987,0.9470749497413635,0.004017269522940301,COMPLETE
51,0.956820527712504,2025-09-02 18:44:18.137141,2025-09-02 18:48:30.082441,0 days 00:04:11.945300,512,normal,5,nz,1.4282591707864956e-05,3.945201197197069e-05,338,864,224,752,976,old,1.3779528531038956,tanh,0.013081947962443033,0.012999137242635092,0.013115247090657553,0.013083616892496744,0.01314250628153483,0.012933929761250814,0.01326286792755127,0.013088464736938477,0.956820527712504,0.02968916695721897,COMPLETE
52,0.47918735941251117,2025-09-02 18:48:30.082872,2025-09-02 18:52:43.147367,0 days 00:04:13.064495,512,normal,7,zero,,0.015361309441221117,3943,464,752,736,816,Glorot,,tanh,0.012775460879007975,0.012906908988952637,0.013027032216389975,0.012900670369466146,0.0129471222559611,0.012703140576680502,0.011386911074320475,0.012663892337254115,0.47918735941251117,0.010668462402427144,COMPLETE
53,0.7525608936945597,2025-09-02 18:52:43.148084,2025-09-02 18:57:58.441978,0 days 00:05:15.293894,256,uniform,7,nz,1.4017302164881898e-08,0.04440465036006332,203,320,736,624,896,Glorot,,logistic,0.0130234956741333,0.013061960538228353,0.013074199358622232,0.013106664021809896,0.013083895047505697,0.012998302777608236,0.01244509220123291,0.012970515659877233,0.7525608936945597,0.0233004159901213,COMPLETE
